iter	Passed	Remaining
399	17818	26727
400	17860	26679
401	17901	26629
402	17936	26571
403	17976	26520
404	18013	26464
405	18049	26408
406	18086	26351
407	18125	26299
408	18158	26238
409	18190	26176
410	18223	26116
411	18261	26062
412	18305	26017
413	18343	25965
414	18377	25905
415	18409	25844
416	18445	25788
417	18488	25743
418	18530	25695
419	18570	25644
420	18612	25598
421	18662	25561
422	18710	25522
423	18769	25498
424	18823	25466
425	18879	25438
426	18920	25389
427	18973	25356
428	19013	25306
429	19054	25257
430	19093	25207
431	19135	25159
432	19178	25113
433	19222	25069
434	19267	25025
435	19313	24983
436	19369	24953
437	19422	24920
438	19463	24872
439	19511	24832
440	19575	24814
441	19624	24775
442	19686	24752
443	19743	24724
444	19795	24689
445	19843	24648
446	19884	24599
447	19921	24546
448	19962	24497
449	20004	24450
450	20054	24412
451	20098	24366
452	20136	24315
453	20175	24263
454	20223	24223
455	20270	24182
456	20305	24126
457	20341	24072
458	20376	24017
459	20417	23968
460	20463	23925
461	20498	23871
462	20532	23814
463	20569	23760
464	20606	23708
465	20640	23652
466	20676	23598
467	20717	23550
468	20750	23493
469	20787	23441
470	20824	23389
471	20860	23335
472	20900	23286
473	20942	23240
474	20979	23187
475	21017	23137
476	21054	23084
477	21086	23027
478	21122	22974
479	21158	22921
480	21196	22870
481	21235	22821
482	21272	22770
483	21307	22715
484	21345	22665
485	21384	22616
486	21417	22561
487	21453	22508
488	21490	22457
489	21525	22404
490	21566	22356
491	21602	22305
492	21635	22250
493	21671	22197
494	21706	22144
495	21738	22088
496	21779	22042
497	21820	21995
498	21860	21948
499	21897	21897
500	21932	21844
501	21967	21792
502	22012	21749
503	22047	21697
504	22091	21653
505	22127	21602
506	22163	21551
507	22200	21501
508	22242	21456
509	22282	21408
510	22319	21358
511	22355	21307
512	22392	21257
513	22425	21203
514	22457	21149
515	22494	21099
516	22530	21049
517	22566	20998
518	22606	20950
519	22637	20895
520	22682	20853
521	22748	20830
522	22803	20797
523	22844	20751
524	22882	20703
525	22928	20662
526	22976	20621
527	23009	20569
528	23042	20515
529	23076	20463
530	23114	20415
531	23148	20363
532	23190	20318
533	23228	20270
534	23282	20236
535	23321	20189
536	23365	20145
537	23402	20096
538	23445	20052
539	23480	20001
540	23513	19949
541	23546	19897
542	23591	19855
543	23629	19807
544	23662	19754
545	23699	19706
546	23737	19658
547	23777	19612
548	23822	19570
549	23861	19523
550	23896	19473
551	23936	19426
552	23982	19385
553	24033	19347
554	24088	19314
555	24137	19275
556	24189	19238
557	24225	19189
558	24261	19140
559	24305	19097
560	24344	19050
561	24383	19003
562	24422	18956
563	24455	18905
564	24499	18862
565	24534	18812
566	24568	18762
567	24607	18715
568	24645	18667
569	24683	18620
570	24718	18570
571	24763	18529
572	24801	18481
573	24834	18431
574	24870	18382
575	24910	18336
576	24956	18295
577	24998	18251
578	25032	18201
579	25075	18158
580	25114	18111
581	25151	18064
582	25194	18020
583	25227	17970
584	25267	17924
585	25306	17878
586	25340	17828
587	25379	17783
588	25419	17737
589	25454	17688
590	25489	17640
591	25527	17592
592	25559	17542
593	25595	17494
594	25630	17446
595	25674	17403
596	25718	17360
597	25753	17312
598	25793	17267
599	25836	17224
600	25880	17182
601	25917	17134
602	25954	17087
603	25994	17042
604	26027	16992
605	26067	16948
606	26102	16900
607	26141	16854
608	26203	16823
609	26295	16812
610	26391	16802
611	26468	16780
612	26507	16734
613	26545	16688
614	26581	16640
615	26618	16593
616	26655	16546
617	26689	16497
618	26725	16449
619	26767	16405
620	26809	16362
621	26848	16316
622	26894	16274
623	26931	16228
624	26978	16187
625	27015	16140
626	27050	16092
627	27092	16048
628	27134	16004
629	27175	15960
630	27211	15913
631	27247	15865
632	27282	15817
633	27323	15773
634	27363	15728
635	27404	15684
636	27443	15638
637	27482	15593
638	27524	15549
639	27556	15500
640	27603	15459
641	27668	15428
642	27730	15396
643	27788	15361
644	27837	15321
645	27881	15278
646	27919	15232
647	27959	15187
648	27995	15140
649	28034	15095
650	28074	15050
651	28111	15004
652	28152	14960
653	28193	14915
654	28230	14869
655	28267	14823
656	28311	14780
657	28347	14734
658	28380	14685
659	28415	14638
660	28454	14593
661	28487	14545
662	28525	14499
663	28564	14454
664	28599	14407
665	28640	14363
666	28676	14316
667	28711	14269
668	28746	14222
669	28793	14182
670	28832	14136
671	28863	14087
672	28897	14040
673	28939	13997
674	28980	13953
675	29018	13908
676	29058	13863
677	29097	13818
678	29128	13770
679	29168	13726
680	29207	13681
681	29250	13638
682	29291	13595
683	29328	13549
684	29366	13504
685	29401	13457
686	29438	13412
687	29474	13366
688	29508	13319
689	29545	13274
690	29584	13229
691	29618	13182
692	29651	13135
693	29693	13092
694	29737	13050
695	29768	13002
696	29817	12962
697	29855	12917
698	29894	12872
699	29926	12825
700	29962	12779
701	30003	12736
702	30042	12692
703	30075	12645
704	30118	12602
705	30154	12557
706	30188	12510
707	30226	12466
708	30260	12420
709	30303	12377
710	30336	12331
711	30373	12286
712	30410	12240
713	30444	12194
714	30481	12150
715	30516	12104
716	30556	12060
717	30590	12014
718	30626	11969
719	30663	11924
720	30699	11879
721	30734	11833
722	30778	11792
723	30814	11747
724	30850	11701
725	30885	11656
726	30927	11613
727	30970	11571
728	31013	11528
729	31049	11484
730	31090	11440
731	31130	11397
732	31165	11352
733	31206	11309
734	31248	11266
735	31283	11221
736	31319	11176
737	31354	11131
738	31388	11085
739	31432	11043
740	31471	11000
741	31511	10956
742	31554	10914
743	31589	10869
744	31625	10824
745	31668	10782
746	31705	10738
747	31741	10693
748	31776	10648
749	31817	10605
750	31852	10560
751	31893	10518
752	31931	10474
753	31970	10430
754	32012	10388
755	32052	10344
756	32086	10299
757	32126	10256
758	32162	10212
759	32195	10167
760	32229	10122
761	32266	10078
762	32306	10034
763	32345	9991
764	32387	9949
765	32427	9906
766	32467	9862
767	32509	9820
768	32549	9777
769	32592	9735
770	32628	9691
771	32663	9646
772	32701	9603
773	32738	9559
774	32779	9516
775	32868	9487
776	32902	9443
777	32935	9398
778	32969	9353
779	33012	9311
780	33051	9267
781	33086	9223
782	33124	9180
783	33161	9136
784	33200	9093
785	33242	9050
786	33281	9007
787	33316	8963
788	33348	8918
789	33388	8875
790	33426	8831
791	33465	8789
792	33501	8744
793	33536	8700
794	33570	8656
795	33607	8612
796	33639	8568
797	33678	8525
798	33721	8483
799	33755	8438
800	33794	8395
801	33832	8352
802	33873	8310
803	33911	8267
804	33944	8222
805	33979	8178
806	34016	8135
807	34056	8092
808	34098	8050
809	34142	8008
810	34181	7965
811	34217	7922
812	34254	7878
813	34294	7836
814	34332	7793
815	34367	7749
816	34401	7705
817	34435	7661
818	34473	7618
819	34507	7574
820	34542	7531
821	34580	7488
822	34625	7446
823	34661	7403
824	34700	7360
825	34738	7317
826	34768	7273
827	34812	7231
828	34849	7188
829	34890	7146
830	34926	7103
831	34964	7060
832	35001	7017
833	35044	6975
834	35084	6932
835	35123	6890
836	35159	6846
837	35200	6804
838	35231	6760
839	35277	6719
840	35318	6677
841	35360	6635
842	35399	6592
843	35432	6549
844	35467	6505
845	35503	6462
846	35543	6420
847	35580	6377
848	35619	6335
849	35658	6292
850	35699	6250
851	35738	6208
852	35776	6165
853	35818	6123
854	35856	6080
855	35894	6038
856	35932	5995
857	35974	5953
858	36012	5911
859	36046	5867
860	36079	5824
861	36119	5782
862	36157	5740
863	36196	5697
864	36237	5655
865	36271	5612
866	36311	5570
867	36347	5527
868	36387	5485
869	36432	5443
870	36468	5401
871	36509	5359
872	36545	5316
873	36579	5273
874	36615	5230
875	36651	5188
876	36691	5146
877	36725	5103
878	36757	5059
879	36800	5018
880	36839	4976
881	36876	4933
882	36922	4892
883	36957	4849
884	36991	4806
885	37032	4764
886	37070	4722
887	37116	4681
888	37159	4639
889	37196	4597
890	37233	4554
891	37271	4512
892	37308	4470
893	37350	4428
894	37387	4386
895	37423	4343
896	37460	4301
897	37493	4258
898	37525	4215
899	37564	4173
900	37604	4131
901	37642	4089
902	37686	4048
903	37722	4005
904	37760	3963
905	37797	3921
906	37836	3879
907	37875	3837
908	37916	3795
909	37954	3753
910	37991	3711
911	38032	3669
912	38069	3627
913	38111	3585
914	38145	3543
915	38182	3501
916	38220	3459
917	38260	3417
918	38296	3375
919	38332	3333
920	38368	3291
921	38406	3249
922	38445	3207
923	38487	3165
924	38524	3123
925	38561	3081
926	38597	3039
927	38636	2997
928	38673	2955
929	38709	2913
930	38745	2871
931	38781	2829
932	38817	2787
933	38855	2745
934	38888	2703
935	38930	2661
936	38968	2620
937	39003	2578
938	39039	2536
939	39074	2494
940	39113	2452
941	39148	2410
942	39187	2368
943	39233	2327
944	39272	2285
945	39305	2243
946	39337	2201
947	39380	2160
948	39422	2118
949	39461	2076
950	39498	2035
951	39537	1993
952	39573	1951
953	39620	1910
954	39657	1868
955	39691	1826
956	39729	1785
957	39764	1743
958	39798	1701
959	39838	1659
960	39880	1618
961	39923	1577
962	39963	1535
963	40000	1493
964	40037	1452
965	40072	1410
966	40113	1368
967	40152	1327
968	40189	1285
969	40228	1244
970	40264	1202
971	40312	1161
972	40345	1119
973	40386	1078
974	40421	1036
975	40461	994
976	40501	953
977	40544	912
978	40582	870
979	40619	828
980	40655	787
981	40693	745
982	40726	704
983	40776	663
984	40858	622
985	40896	580
986	40933	539
987	40973	497
988	41015	456
989	41055	414
990	41092	373
991	41132	331
992	41172	290
993	41221	248
994	41254	207
995	41298	165
996	41337	124
997	41368	82
998	41409	41
999	41450	0
